ConferenceSeriesId,Rank,NormalizedName,DisplayName,PaperCount,CitationCount
1184914352,7994,AAAI,National Conference on Artificial Intelligence,21510,446128
1188739475,8208,ACL,Meeting of the Association for Computational Linguistics,12003,473932
1173951661,9070,NAACL,North American Chapter of the Association for Computational Linguistics,5138,199193
1192655580,8634,EMNLP,Empirical Methods in Natural Language Processing,6709,315511
1127325140,7394,NeurIPS,Neural Information Processing Systems,12772,901608
1158167855,6901,CVPR,Computer Vision and Pattern Recognition,19656,1794480
1180662882,7795,ICML,International Conference on Machine Learning,11323,587084
2584161585,8783,ICLR,International Conference on Learning Representations,3493,294414
1140684652,8841,SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,6880,268141
1124077590,8091,ECCV,European Conference on Computer Vision,6308,460754
1135342153,10341,WWW,The Web Conference,7457,355038
1130985203,8325,KDD,Knowledge Discovery and Data Mining,7044,418355
1164975091,7690,ICCV,International Conference on Computer Vision,8846,645280
1203999783,8175,IJCAI,International Joint Conference on Artificial Intelligence,12294,319150
